time,msg.id,msg.len,data
1656734976077,C4,8,B0038602CF07CF07
1656734976077,C4,8,B0038602CF07CF07
1656734976077,AD,8,0100000000000000
1656734976078,AC,8,00000000021A0000
1656734976078,AB,8,0000000000080000
1656734976078,AA,8,0700010000008001
1656734976078,A8,8,2200AE520100FEFF
1656734976079,A7,8,060000000A000800
1656734976079,A6,8,0200FEFF00000000
1656734976079,A5,8,BF0400000000B4FF
1656734976079,A4,8,0000000000000000
1656734976079,A3,8,EB6DC31EEBB1D71E
1656734976081,C4,8,AF038602CF07CF07
1656734976089,C4,8,AF038602CF07CF07
1656734976090,AD,8,0200000000000000
1656734976090,AC,8,00000000051A0000
1656734976090,A3,8,EB6DC31EEBB1D71E
1656734976091,C4,8,AF038602CF07CF07
1656734976098,AD,8,0000000000000000
1656734976100,AC,8,00000000081A0000
1656734976100,C4,8,B0038602CF07CF07
1656734976100,A3,8,EB6DB31EEBB1D71E
1656734976101,C0,8,0000000001000000
1656734976101,C4,8,AF038602CF07CF07
1656734976110,AD,8,0200000000000000
1656734976111,AE,8,1000C01915051920
1656734976111,AC,8,000000000B1A0000
1656734976111,C4,8,B0038602CF07CF07
1656734976111,6B2,8,00A7A78600000000
1656734976113,AD,8,0100000000000000
1656734976114,AC,8,000000000E1A0000
1656734976128,AB,8,0000000000080000
1656734976129,AA,8,0700010000008001
1656734976129,A8,8,2200AE52FFFFFEFF
1656734976129,C4,8,AF038602CF07CF07
1656734976137,C4,8,AF038602CF07CF07
1656734976138,AD,8,0000000000000000
1656734976138,AC,8,00000000141A0000
1656734976138,C4,8,AF038602CF07CF07
1656734976146,AD,8,0200000000000000
1656734976147,AC,8,00000000171A0000
1656734976147,C4,8,AF038602CF07CF07
1656734976147,C4,8,B0038602CF07CF07
1656734976155,AD,8,0100000000000000
1656734976156,AC,8,0000FDFF1A1A0000
1656734976156,C4,8,AF038602CF07CF07
1656734976156,AB,8,0000000000080000
1656734976156,A3,8,EB6DB31EEBB1D71E
1656734976163,AD,8,0100000000000000
1656734976164,AC,8,000000001D1A0000
1656734976164,6B2,8,00A7A78700000000
1656734976164,C4,8,AF038602CF07CF07
1656734976171,C4,8,AF038602CF07CF07
1656734976172,6B1,8,290100091E1C1D43
1656734976172,AD,8,0100000000000000
1656734976172,C4,8,AF038602CF07CF07
1656734976180,C4,8,AF038602CF07CF07
1656734976181,C4,8,B0038602CF07CF07
